title,pmc_url,pmcid,pmid,pub_year,found_accessions_text,mission_terms_text,organism_terms_text,assay_terms_text,validated_datasets,fallback_osdr_candidates,pubmed_meta
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,PMC8441986,,2020,GLDS-111;GLDS-21;GLDS-25;GLDS-334;GLDS-335;GLDS-336;GLDS-337;GLDS-4;GLDS-48;GLDS-61;GLDS-63,ISS;RR-8;RR14510;RR2289;Rodent Research;rr29,;Mice;Mouse;mice;mouse;s,RNA-seq;transcriptomic;transcriptomics,[],[],{}
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,PMC9400218,,,GLDS-302;GLDS-303;GLDS-309;GLDS-311;GLDS-350;GLDS-67;GLDS-69,ISS,Saccharomyces cerevisiae,,[],[],{}
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,PMC9267413,,,,ISS;RR13747;RR15028;RR1648;Shuttle;shuttle,;Mice;Mouse;mice;mouse;s,metabolomics;y,[],[],{}
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,PMC9576569,,2022,GLDS-103;GLDS-168,BION-M1;ISS;RR1;Rodent Research;SpaceX-4,;Mice;Mouse;mice;mouse;s,RNA-seq;RNAseq;Transcriptomic;metabolomics;transcriptomic;transcriptomics,[],[],{}
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,PMC10789781,,,GLDS-317;OSD-109;OSD-117;OSD-159;OSD-294;OSD-530;OSD-80,RR13466;RR13792;RR14267,mice;mouse,Proteomic;RNA-Seq;RNA-seq;microarray;transcriptomic;y,[],[],{}
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,PMC10772081,,,,,mouse,Metabolomics;Proteomic;metabolomic;metabolomics;transcriptomic,[],[],{}
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,PMC11166946,,,OSD-101;OSD-103;OSD-104;OSD-105;OSD-127;OSD-195;OSD-202;OSD-21;OSD-52;OSD-530;OSD-570;OSD-91;OSD-99,ISS;RR1;Rodent Research;rodent research,;Mouse;Mus musculus;mice;mouse;s,Metabolomics;RNA-Seq;RNA-seq;metabolomics;microarray;proteomic;proteomics;transcriptomic,[],[],{}
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,PMC11166944,,,OSD-334;OSD-335;OSD-336;OSD-337;OSD-530;OSD-570;OSD-577,ISS;RR2289;rr29,;Mice;mice;mouse,RNA-Seq;RNA-seq;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,PMC11166968,,,,ISS;RR14311;SpaceX 4;shuttle,,,[],[],{}
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,PMC7000411,,,,ISS,Drosophila;Saccharomyces cerevisiae;mice,Microarray;RNA-Seq;RNA-seq;Transcriptomic;proteomic;transcriptomic,[],[],{}
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,PMC7787258,,2020,GLDS-347,ISS,Drosophila;Mouse;mice;mouse;zebrafish,RNA-Seq;RNA-seq;RNaseq;Transcriptomic;microarray;transcriptomic;y,[],[],{}
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,PMC8716943,,2021,,,Arabidopsis thaliana,,[],[],{}
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,PMC4826010,,2015,,,Arabidopsis thaliana,,[],[],{}
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,PMC6048781,,2018,,,,,[],[],{}
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,PMC7010715,,2020,,,Arabidopsis thaliana,y,[],[],{}
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,PMC7503278,,2003,,,;Arabidopsis thaliana;mice,y,[],[],{}
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,PMC8364238,,2021,,,Arabidopsis thaliana;mice;mouse,y,[],[],{}
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,PMC11579474,,,,BION-M1;ISS,Mice;Mouse;mice;mouse,RNA-seq;Transcriptomics;proteomic,[],[],{}
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,PMC2998437,,2010,,,Mouse,,[],[],{}
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,PMC3005423,,,,,,,[],[],{}
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,PMC3190158,,2011,,,,,[],[],{}
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,PMC3289768,,,,,,,[],[],{}
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,PMC3508904,,,,,,,[],[],{}
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,PMC3430326,,2012,,,,,[],[],{}
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,PMC3593973,,2013,,,,,[],[],{}
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,PMC5018776,,2016,,,,,[],[],{}
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,PMC4896697,,2016,,,,,[],[],{}
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,PMC11127935,,2003,,,Saccharomyces cerevisiae,y,[],[],{}
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,PMC11831363,,2025,,,,,[],[],{}
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,PMC11930778,,2024,,,Drosophila;mouse,Proteomics;proteomics;transcriptomic;y,[],[],{}
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,PMC8816950,,,,,Saccharomyces cerevisiae,Proteomics;transcriptomics,[],[],{}
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,PMC3774184,,,,,mice,,[],[],{}
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,PMC4118556,,2013,,,mice,,[],[],{}
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,PMC4653813,,2013,,shuttle,mice;mouse,y,[],[],{}
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,PMC6915713,,,GLDS-137;GLDS-168;GLDS-25;GLDS-47,Bion M1;ISS;RR-1;RR-3;RR1;RR15062;RR3;Rodent Research;Shuttle;SpaceX-4;shuttle,Mice;Mouse;mice;mouse,Microarray;Proteomic;Proteomics;RNA-Seq;RNA-seq;Transcriptomics;metabolomics;microarray;proteomic;proteomics;transcriptomic;transcriptomics;y,[],[],{}
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,PMC6124165,,2017,,,MICE;Mice;mice;mouse,y,[],[],{}
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,PMC8509868,,2021,,,;Mice;mice;mouse;s,RNA-seq;RNASeq;RNAseq;Transcriptomic;metabolomics;proteomic;transcriptomic,[],[],{}
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,PMC11063234,,2024,,rr2598,;Mouse;Mus musculus;mice;mouse;s,Metabolomics;Microarray;Proteomic;Proteomics;RNA-seq;metabolomic;metabolomics;microarray;proteomic;proteomics;transcriptomics,[],[],{}
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,PMC5672023,,2023,,Bion-M1;ISS,;mice;mouse;s,RNA-Seq;y,[],[],{}
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,PMC5899691,,,,,,y,[],[],{}
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,PMC6204554,,,,Shuttle;shuttle,;Zebrafish;mouse;s;zebrafish,y,[],[],{}
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,PMC4064004,,2013,,,,,[],[],{}
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,PMC3818365,,2013,,,,,[],[],{}
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,PMC3981873,,2013,,,Arabidopsis thaliana,Proteomics,[],[],{}
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,PMC4150462,,2014,,,,,[],[],{}
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,PMC4378170,,2015,,,Arabidopsis thaliana,,[],[],{}
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,PMC4618186,,2015,,,,,[],[],{}
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,PMC4453782,,2015,,,Saccharomyces cerevisiae,y,[],[],{}
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,PMC4902601,,,,,,,[],[],{}
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,PMC4776492,,2015,,,Arabidopsis thaliana,,[],[],{}
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,PMC5415411,,2017,,,Arabidopsis thaliana,,[],[],{}
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,PMC6289879,,2018,,,Arabidopsis thaliana,,[],[],{}
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,PMC7987364,,2020,,,Arabidopsis thaliana,,[],[],{}
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,PMC8099722,,2001,,ISS,mice,RNA-seq,[],[],{}
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,PMC5116466,,2016,,,,microarray;transcriptomics,[],[],{}
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,PMC4033213,,2014,,RR1487;RR3171,Arabidopsis thaliana,transcriptomics,[],[],{}
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,PMC6081456,,2018,,,,,[],[],{}
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,PMC5955502,,2018,,BION-M1;ISS;RR-1;Rodent Research;SpaceX-4;SpaceX-5;shuttle,;mice;mouse;s,proteomics,[],[],{}
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,PMC10285634,,2023,,BION-M1;Bion-M 1;ISS;RR1;RR18;RR9;rodent research,;Mice;mice;mouse;s,proteomics;y,[],[],{}
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,PMC11271499,,2024,,RR-1;RR-18;RR-9;RR14754;RR2821;rodent research,;Mice;mice;mouse;s,,[],[],{}
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,PMC6062551,,2018,,ISS,;Arabidopsis thaliana;Mouse;Zebrafish;mice;mouse;zebrafish,microarray;proteomic,[],[],{}
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,PMC9832585,,2022,,RR0707;RR11;RR13635;RR13794;RR14110;RR14186;RR14784;RR15137;RR15363;RR15553;RR2155;RR2400;RR4413;rr13791;rr2629;rr3168;rr3249,;mice;mouse;s,proteomic,[],[],{}
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,PMC7829349,,2020,,ISS;shuttle,mice,Transcriptomic;proteomic;transcriptomic,[],[],{}
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,PMC3570223,,2008,,RR016475;RR017686;shuttle,mouse,microarray,[],[],{}
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,PMC3457586,,2012,,,Drosophila,microarray,[],[],{}
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,PMC3558598,,2012,,RR016475;RR017686,Drosophila,,[],[],{}
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,PMC11046949,,2024,,,mouse,,[],[],{}
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,PMC3890248,,,,,mouse,,[],[],{}
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,PMC3868799,,2013,,,Mice;mice,,[],[],{}
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,PMC4960141,,2015,,,mice;mouse,,[],[],{}
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,PMC5736159,,2017,,,Mice;mice;mouse,,[],[],{}
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,PMC5761896,,,GLDS-141,,Mice;Mouse;mice;mouse;zebrafish,RNA-Seq;RNASeq,[],[],{}
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,PMC5826609,,2017,,ISS;Rodent Research,mice,,[],[],{}
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,PMC6366624,,2018,,,Mouse;mouse,RNASeq,[],[],{}
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,PMC11929063,,2025,,ISs,Mice;mice;mouse,,[],[],{}
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,PMC11929063,,2025,,ISs,Mice;mice;mouse,,[],[],{}
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,PMC10996920,,2021,GLDS-141;GLDS-164;GLDS-201;GLDS-214,,Mice;Mouse;mice;mouse;s,,[],[],{}
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,PMC7954810,,2016,,ISS;RR-1;RR1;Rodent Research;Shuttle;SpaceX-4,Mice;mice;mouse;s,y,[],[],{}
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,PMC4228280,,,,Shuttle;shuttle,Saccharomyces cerevisiae,metabolomic;proteomic;y,[],[],{}
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,PMC3639165,,2013,,Shuttle;shuttle,Drosophila;mouse,proteomic;y,[],[],{}
GeneLab: Omics database for spaceflight experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,PMC8044432,,2021,GLDS-168;GLDS-245;GLDS-251,ISS;RR-1;RR-3;RR-6;Rodent Research;Shuttle,Arabidopsis thaliana;Drosophila;Mus musculus;mouse,RNA-seq;RNAseq;metabolomics;microarray;proteomic;transcriptomic;transcriptomics,[],[],{}
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,PMC7778922,,2021,,ISS;RR-3;RR0763;RR14338;RR14979;RR15062;RR15338;RR3538;Shuttle,Arabidopsis thaliana;Drosophila;Mice;Mus musculus;mice;mouse,RNA-Seq;RNA-seq;metabolomic;microarray;proteomic;transcriptomic;transcriptomics,[],[],{}
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,PMC7870178,,2020,,RR9;Rodent Research,,RNA-seq;metabolomic;metabolomics;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,PMC7733874,,2020,,ISS;RR-1;RR15062;Rodent Research;Shuttle,Arabidopsis thaliana;Drosophila;Mice;Mouse;Saccharomyces cerevisiae;mice;mouse;zebrafish,Metabolomics;RNA-seq;RNAseq;Transcriptomic;metabolomic;metabolomics;proteomic;proteomics;transcriptomic;transcriptomics,[],[],{}
